# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 17:51:34.854
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,026439;0,1413;-0,2139;1,1693;1,20
0,039116;1,0500;-0,2943;-0,0163;1,09
0,046757;0,6171;-0,2725;-0,2070;0,71
0,061971;0,1707;-0,1841;-0,1254;0,28
0,073144;-0,1784;-0,1163;-0,0906;0,23
0,089190;-0,4879;0,1814;-0,1943;0,56
0,093520;-0,4513;0,0977;-0,3489;0,58
0,105688;-0,4524;0,0012;-0,4262;0,62
0,112282;-0,4265;0,0206;-0,3871;0,58
0,121748;-0,2661;0,0492;-0,3531;0,44
0,137634;-0,0387;0,0060;-0,3275;0,33
0,140154;0,1635;-0,0209;-0,2583;0,31
0,155135;0,2210;-0,0231;-0,0662;0,23
0,158515;0,1322;-0,0887;0,2348;0,28
0,171278;0,0834;-0,0483;0,2992;0,31
0,177514;0,0515;-0,0005;0,2990;0,30
0,187789;-0,0804;0,0334;0,2682;0,28
0,205628;-0,2025;0,1331;0,0409;0,25
0,221105;-0,1529;0,1671;-0,1562;0,28
0,224271;-0,0652;0,1667;-0,2738;0,33
0,238396;0,0003;0,0562;-0,4343;0,44
0,243054;0,0104;-0,0725;-0,4984;0,50
0,254838;-0,0045;-0,1445;-0,2400;0,28
0,261817;0,0104;-0,0777;0,0861;0,12
0,270989;0,0302;0,0549;0,1293;0,14
0,280513;-0,0335;0,1132;0,0278;0,12
0,290361;-0,1993;0,0772;-0,0335;0,22
0,305563;-0,2911;0,0055;-0,0730;0,30
0,308130;-0,2186;-0,0734;-0,2037;0,31
0,322807;-0,0898;-0,1026;-0,2557;0,29
0,340475;0,0626;-0,1334;0,0685;0,16
0,344979;0,2108;-0,1377;-0,0250;0,25
0,354449;0,2249;-0,1261;-0,1760;0,31
0,363613;0,1678;-0,1365;-0,2633;0,34
0,372955;0,1665;-0,1257;-0,1995;0,29
0,387839;0,1381;-0,0415;-0,0470;0,15
0,392032;0,1086;0,0097;-0,0112;0,11
0,406560;0,0180;0,0395;0,0354;0,06
0,410282;-0,0831;0,0278;0,1245;0,15
0,422485;-0,1520;-0,0118;0,2827;0,32
0,429572;-0,0959;-0,0113;0,2944;0,31
0,438570;0,0457;-0,0350;0,0986;0,11
0,448305;0,1247;-0,1043;0,0357;0,17
0,457144;0,2371;-0,0922;0,0447;0,26
0,466821;0,2779;-0,0507;0,0952;0,30
0,488497;0,1512;0,0267;0,2664;0,31
0,494774;0,0639;0,0639;0,2254;0,24
0,505334;0,0374;0,0858;0,0789;0,12
0,513895;0,0008;0,0592;0,0124;0,06
0,522680;0,0474;0,0503;0,0069;0,07
0,533133;0,0808;0,1263;0,0047;0,15
0,541329;0,0191;0,1450;0,0105;0,15
0,555373;0,0632;0,1135;-0,0074;0,13
0,559847;0,1427;0,0776;0,0257;0,16
0,574285;0,1442;0,0472;0,1459;0,21
0,578768;0,1571;0,0804;0,1587;0,24
0,591561;0,1632;0,1012;0,0558;0,20
0,597557;0,0701;0,0924;0,0688;0,13
0,608207;0,0418;0,1217;0,1567;0,20
0,625056;0,0211;0,1542;0,1771;0,24
0,641978;-0,0923;0,0712;0,2579;0,28
0,643933;0,0051;0,0654;0,3464;0,35
0,659928;0,0987;0,1054;0,2940;0,33
0,662991;0,0597;0,0744;0,1815;0,21
0,675313;-0,0581;-0,0198;0,0851;0,10
0,681361;-0,1375;-0,0692;-0,0933;0,18
0,692094;-0,2469;-0,1191;-0,1889;0,33
0,708726;-0,2794;-0,1597;-0,2115;0,39
0,710087;-0,1708;-0,1887;-0,2694;0,37
0,725198;-0,1022;-0,2758;-0,2446;0,38
0,727807;-0,1559;-0,3053;0,0028;0,34
0,742917;-0,0618;-0,1196;0,1697;0,22
0,747506;-0,1284;-0,1095;-0,2654;0,31
0,759378;-0,1882;-0,1347;-0,4958;0,55
0,779358;-0,1474;-0,1708;-0,3951;0,45
0,779616;-0,1442;-0,2406;-0,2840;0,40
0,793113;-0,0020;-0,2403;-0,1241;0,27
0,811063;0,0581;-0,2246;0,2956;0,38
0,812897;0,0197;-0,2283;0,4891;0,54
0,825673;0,0282;-0,0127;0,3043;0,31
0,830633;-0,0843;0,0872;0,0233;0,12
0,842198;-0,1001;0,0603;-0,0923;0,15
0,849699;0,0394;0,0931;-0,1160;0,15
0,859552;0,1465;0,1051;-0,1208;0,22
0,871057;0,1232;0,0862;-0,0181;0,15
0,877435;0,0309;0,1001;0,0995;0,14
0,890486;0,0048;0,2093;-0,0241;0,21
0,910884;-0,0859;0,1202;0,0822;0,17
0,915279;-0,0574;0,0283;0,0433;0,08
0,927134;0,0653;0,0379;-0,0779;0,11
0,933864;0,1434;0,0567;-0,2035;0,26
0,944179;0,0882;0,0220;-0,1085;0,14
0,959769;0,0069;-0,0081;0,0671;0,07
0,961439;0,0040;0,0286;0,0608;0,07
