# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 17:45:21.470
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,007490;-0,2844;0,4199;0,9022;1,03
0,017086;-0,0525;0,2400;0,6611;0,71
0,022940;0,1386;-0,0620;0,2703;0,31
0,032079;0,2354;-0,3025;-0,3215;0,50
0,047457;0,2279;-0,2791;-0,5824;0,68
0,062073;0,0396;-0,2259;-0,4913;0,54
0,062210;-0,1320;-0,1156;-0,1475;0,23
0,078162;-0,0676;0,0420;0,1620;0,18
0,079568;0,2003;0,0636;0,4805;0,52
0,095930;0,4422;0,3563;0,4858;0,75
0,110958;-0,0889;-0,1839;0,4433;0,49
0,116636;0,0117;-0,1328;0,9217;0,93
0,128519;0,1363;-0,1624;0,9500;0,97
0,160814;-0,0759;-0,4256;0,6238;0,76
0,183258;-0,4015;1,4692;0,3044;1,55
0,183403;-0,8553;0,8502;0,7132;1,40
0,197594;-0,8750;0,3753;1,2289;1,55
0,210326;-0,6089;0,0292;1,5442;1,66
0,225978;-0,9915;0,1126;1,0874;1,48
0,228180;-1,6482;0,2361;0,5356;1,75
0,242263;-2,0132;0,6089;0,2716;2,12
0,247393;-2,2908;0,6602;0,2300;2,40
0,261531;-2,5751;0,1680;0,5911;2,65
0,265279;-2,1038;-0,2006;0,3381;2,14
0,278878;-1,4866;-0,5425;-0,3302;1,62
0,285054;-1,1804;-0,9224;-0,3298;1,53
0,295357;-0,5115;-0,9460;0,2509;1,10
0,313213;0,3539;-0,9295;0,5406;1,13
0,313329;0,7925;-1,2311;0,5123;1,55
0,330021;0,7408;-1,4623;0,7828;1,82
0,331131;0,9036;-1,1952;0,4481;1,56
0,348357;0,9130;-0,8114;-0,1220;1,23
0,360953;0,7540;-0,1681;-1,1791;1,41
0,381441;0,5894;-0,1623;-1,0281;1,20
0,394604;2,4637;1,2419;-0,8642;2,89
0,415837;1,3107;2,2569;-0,3669;2,64
0,415980;1,2845;0,1986;-0,5196;1,40
0,428744;1,5478;-1,8791;-0,4052;2,47
0,434543;1,6218;-3,2178;-0,1230;3,61
0,446068;1,1490;-3,5197;0,5413;3,74
0,463491;0,6369;-2,8842;0,4925;2,99
0,463625;-0,2225;-2,0921;0,4647;2,15
0,480160;-0,6343;-0,8574;0,5088;1,18
0,493309;-0,5833;0,6718;-0,2985;0,94
0,499350;-1,0822;-0,0491;-0,4556;1,18
0,511138;-1,6364;-1,1986;0,1002;2,03
0,517847;-1,9094;-2,1647;1,1414;3,10
0,534439;-1,7847;-2,3993;1,6548;3,42
0,541068;-1,8462;-2,0731;2,5440;3,77
0,545999;-0,8129;-1,4659;1,2407;2,09
0,563112;-2,0013;-2,9989;-1,9846;4,12
0,565612;-3,0485;-3,0846;-1,3705;4,55
0,580662;-2,7481;-1,6852;2,0186;3,80
0,583766;-2,4397;-1,1381;3,2077;4,19
0,598275;-2,3408;-0,7854;2,6868;3,65
0,602638;-1,8143;-0,4973;1,2128;2,24
0,616297;0,0092;0,5221;-0,2374;0,57
0,633143;1,2916;1,8542;-1,2113;2,56
0,633312;1,7270;2,1974;-1,6374;3,24
0,651826;1,3844;1,1642;-1,4424;2,31
0,651999;1,1742;0,1981;-0,2985;1,23
0,664276;1,2459;-1,1429;1,0138;1,97
0,678441;1,3399;-1,0119;1,9899;2,60
0,696222;1,5711;-0,3496;1,0237;1,91
0,696366;1,5986;-0,3107;0,6109;1,74
0,705634;1,6804;-0,3776;0,3410;1,76
0,715154;1,4944;-0,4397;0,8281;1,76
0,727501;1,1628;-0,4155;0,9443;1,55
0,735086;0,9910;-0,1963;1,2250;1,59
0,743784;1,2061;-0,3712;2,0364;2,40
0,751362;1,5523;-0,9323;2,2280;2,87
0,770174;0,9666;-1,8024;2,8991;3,55
0,780035;0,0822;-1,5721;2,5434;2,99
0,793608;-0,5955;-0,6072;2,3682;2,52
0,798655;-0,2765;0,3649;1,2195;1,30
0,811500;-0,2491;0,8076;-0,5042;0,98
0,817609;0,1882;1,1731;-0,0087;1,19
0,829009;0,8452;0,6022;0,0581;1,04
0,836299;0,5269;-0,7135;-0,3303;0,95
0,845894;0,9367;-1,7186;0,0691;1,96
0,863262;1,6446;-2,7759;-0,0062;3,23
