# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 17:57:36.100
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,035122;-0,0424;0,0961;0,7442;0,75
0,055026;-0,0085;-0,1651;-0,4655;0,49
0,055278;-0,0649;-0,1146;-0,8516;0,86
0,094767;-0,1534;-0,0297;-0,8027;0,82
0,108355;-0,2929;-0,0163;-0,0485;0,30
0,135033;-0,0157;-0,1011;-0,6295;0,64
0,151753;0,1479;-0,2120;0,1176;0,28
0,159281;0,1626;-0,2367;0,5432;0,61
0,166219;0,0557;-0,2789;0,7030;0,76
0,198027;0,1075;-0,1741;0,5899;0,62
0,199593;0,0968;-0,1244;0,6012;0,62
0,199858;0,0763;-0,1197;0,4709;0,49
0,222167;0,0871;-0,0763;0,2828;0,31
0,222464;0,1062;-0,0059;0,2259;0,25
0,242375;0,0201;-0,0215;0,2666;0,27
0,242646;-0,0427;0,0044;0,2550;0,26
0,255640;-0,0589;0,0523;0,0395;0,09
0,268282;-0,0175;0,1036;-0,2874;0,31
0,269264;-0,0460;0,0950;-0,3395;0,36
0,301309;-0,1288;0,1245;-0,2088;0,28
0,327656;-0,3898;0,0790;0,1197;0,42
0,327961;-0,3742;0,1189;-0,1325;0,41
0,364298;-0,2995;0,1293;-0,3344;0,47
0,382566;-0,2257;0,0086;0,0612;0,23
0,392036;-0,0683;-0,0759;-0,1203;0,16
0,408359;-0,0074;-0,1542;-0,2419;0,29
0,415754;-0,0137;-0,1356;-0,2921;0,32
0,419923;-0,0946;-0,0693;-0,1657;0,20
0,432311;-0,2060;-0,0766;-0,0601;0,23
0,452335;-0,2261;-0,0480;0,0603;0,24
0,452467;-0,2243;-0,0305;0,1299;0,26
0,457032;-0,2175;-0,0620;0,0322;0,23
0,474150;-0,1246;-0,1073;-0,1463;0,22
0,474747;0,0198;-0,0816;-0,2739;0,29
0,487632;0,1365;-0,0725;-0,3348;0,37
0,495935;0,2593;-0,0819;-0,2702;0,38
0,513198;0,2280;-0,1866;0,1819;0,35
0,521587;0,1574;-0,2049;0,3293;0,42
0,535327;0,0728;-0,1873;0,3386;0,39
0,540261;0,1154;-0,1405;0,2160;0,28
0,549320;0,1525;-0,1294;0,1360;0,24
0,557579;0,1742;-0,1037;0,1257;0,24
0,568884;0,2321;-0,0801;0,0967;0,26
0,583176;0,2502;-0,0650;0,0839;0,27
0,586643;0,2054;-0,0350;0,0562;0,22
0,604412;0,1893;0,0254;-0,0594;0,20
0,605159;0,1576;0,0844;-0,0765;0,19
0,638048;0,0742;0,0823;0,0699;0,13
0,657668;0,2931;-0,0457;0,1521;0,33
0,658102;0,2655;-0,0479;0,1498;0,31
0,678375;0,2006;0,0538;0,0171;0,21
0,678708;0,1275;0,1024;-0,0002;0,16
0,698332;0,1219;0,1545;0,0171;0,20
0,698537;0,1627;0,1608;0,0456;0,23
0,708477;0,1742;0,0646;0,2807;0,34
0,719443;0,1404;0,0552;0,3014;0,34
0,748795;0,1784;0,0871;0,2267;0,30
0,767823;0,1245;-0,1971;-0,0563;0,24
0,805768;0,1555;-0,0285;0,4616;0,49
0,820252;-0,2913;0,2956;0,2889;0,51
0,832943;-0,0779;0,1273;0,2497;0,29
0,839704;0,1755;-0,0501;0,1905;0,26
0,853684;0,2685;-0,2585;0,3126;0,49
0,857606;0,1536;-0,5078;0,4899;0,72
0,891858;0,1422;-0,5752;0,6216;0,86
0,906001;-0,1338;-0,5618;0,2531;0,63
0,927711;-0,2895;-0,1460;-1,0515;1,10
0,927883;-0,5393;0,0490;-1,1693;1,29
0,935595;-0,5016;0,0635;-0,7590;0,91
0,941948;-0,4869;-0,1278;-0,3444;0,61
0,952019;-0,3101;-0,1917;-0,0629;0,37
0,970088;-0,2323;-0,3488;0,3978;0,58
0,988349;-1,1687;-0,1029;0,7299;1,38
0,988472;-1,0851;0,5755;0,3689;1,28
1,012597;-0,4716;0,4331;-0,3538;0,73
1,026039;-0,9284;-0,0080;0,1426;0,94
1,043597;-0,8990;-0,0590;-0,1675;0,92
1,044453;-0,8797;-0,1024;0,3142;0,94
1,054815;-0,9298;-0,3320;1,0627;1,45
1,069167;-0,5812;-0,8302;1,2247;1,59
1,073120;-0,2003;-1,2216;1,1999;1,72
1,093119;-0,9717;-3,8622;1,3911;4,22
1,093246;-0,1070;-2,2406;2,3620;3,26
1,109704;-0,0235;-2,7651;0,9161;2,91
1,119256;-1,4165;-3,0479;-0,0821;3,36
1,136768;-1,8302;-2,3844;-2,1163;3,68
1,138032;-1,2915;-1,1958;-3,9683;4,34
1,150912;-0,3076;-0,1854;-4,8700;4,88
1,156149;0,8455;0,8055;-5,9179;6,03
1,166632;1,4002;1,6511;-6,5804;6,93
1,175458;1,0882;2,2047;-5,9232;6,41
1,186815;-0,9226;1,3821;0,8786;1,88
1,193940;-2,1335;-0,1071;4,0449;4,57
1,204150;-0,9754;-0,9074;2,2299;2,60
1,220414;-0,5425;-1,7245;0,3843;1,85
1,224287;-0,4563;-2,2692;0,0270;2,31
1,235335;0,2380;-2,3736;0,8291;2,53
1,260869;1,7245;-2,2131;0,1029;2,81
1,261140;2,1474;-1,8212;-0,2488;2,83
1,276924;2,2677;-1,3970;-0,0396;2,66
1,277357;2,2250;-1,1574;0,0516;2,51
1,287822;1,9342;-1,1408;0,0399;2,25
1,303772;1,6457;-1,1237;0,2178;2,00
1,308250;1,8298;-1,0049;0,4079;2,13
1,327381;2,5269;-0,5137;-0,0375;2,58
1,327495;2,7934;-0,0664;0,1027;2,80
1,346891;2,5948;-0,1099;1,0127;2,79
1,347461;2,1909;-0,8501;1,0627;2,58
1,366602;1,2375;-2,2181;0,5826;2,61
1,366941;0,0778;-3,5577;-1,0977;3,72
1,387898;-0,9461;-4,4045;-2,0742;4,96
1,388031;-1,8106;-4,7941;-2,6231;5,76
1,427392;-3,8314;-3,1553;-1,3139;5,13
1,441671;0,9927;1,0639;2,9573;3,30
1,458518;0,2373;2,0199;3,9568;4,45
1,470777;0,2358;1,9232;4,1166;4,55
1,474437;-0,1864;1,5128;3,7113;4,01
1,498193;-0,8687;0,7770;3,3182;3,52
1,511323;-0,9390;0,9196;0,9396;1,62
1,521212;-0,6398;1,5645;2,5456;3,06
1,536921;-0,3479;1,8610;2,7820;3,37
1,539558;-0,1325;1,9297;2,1494;2,89
1,557590;0,0234;2,2569;1,4218;2,67
1,558651;0,4649;2,4269;1,2730;2,78
1,598857;0,8002;1,9625;1,1116;2,39
1,629676;-0,0917;1,8641;0,5755;1,95
1,642900;0,1417;0,5046;0,0497;0,53
1,656726;1,2796;0,9205;0,0285;1,58
1,661277;2,3362;1,5207;0,6278;2,86
1,670761;2,5248;1,5482;1,8925;3,51
1,679681;1,7923;1,4908;2,4212;3,36
1,702694;1,5815;1,5497;3,4241;4,08
1,709422;1,8063;0,8624;2,0423;2,86
1,719326;1,5642;-0,2465;0,2248;1,60
1,729883;0,5283;-0,7977;-0,8633;1,29
1,735963;0,7141;-1,2970;-1,0322;1,80
1,750139;0,7026;-1,5601;-1,6612;2,38
1,759491;0,9042;-0,3570;-1,5743;1,85
1,764597;0,6223;-0,1175;-0,6044;0,88
1,773512;0,1348;-0,6500;-0,5480;0,86
1,794651;-0,1445;-1,0057;-1,3008;1,65
1,795027;-0,1167;-1,1639;-1,6128;1,99
1,806271;-0,2917;-1,1776;-1,4887;1,92
1,811237;0,3382;-1,0216;-1,7712;2,07
1,822720;1,4282;-0,8037;-2,0983;2,66
1,846138;1,8667;-0,0493;-2,2069;2,89
1,862251;0,8472;0,0630;-1,6916;1,89
1,876109;-0,7633;0,7088;0,0666;1,04
1,896438;-0,8095;0,0648;-0,5653;0,99
1,896547;-0,9157;-0,0813;-0,8674;1,26
1,913502;-1,0716;0,1563;0,5372;1,21
1,913683;-0,3641;0,7181;1,5275;1,73
1,925869;0,4850;1,3763;1,0996;1,83
1,940222;0,7237;1,4568;1,0939;1,96
1,957299;0,7922;1,8056;2,9137;3,52
1,960384;1,4387;1,7483;2,7529;3,56
1,973513;2,7490;1,9709;2,2675;4,07
1,983410;4,0244;2,0228;2,3249;5,07
1,999028;4,9951;1,7841;1,2005;5,44
1,999157;5,0101;1,1611;-2,1102;5,56
2,056954;4,5914;-0,5948;-3,4939;5,80
2,074434;-2,9549;-0,4919;-3,0896;4,30
2,105494;-1,5092;0,0640;-2,7454;3,13
2,124897;-0,7664;0,6534;-2,8614;3,03
2,128397;-0,2678;-0,2150;-3,7195;3,74
2,146242;-1,2126;-2,1346;-4,3180;4,97
2,147362;-2,7821;-3,7009;-4,7287;6,62
2,159454;-2,8729;-4,1967;-3,2293;6,02
2,170194;-3,5922;-4,2396;-1,4856;5,75
2,185604;-4,1152;-3,9021;0,0265;5,67
2,185864;-3,0810;-3,7434;2,1671;5,31
2,198169;-2,6224;-3,3371;3,1859;5,31
2,218074;-1,1130;-1,7320;0,6829;2,17
2,232798;0,1022;0,8349;-4,4562;4,53
2,233085;0,8760;-0,3651;-3,9902;4,10
2,240653;-0,3488;-2,9285;1,4604;3,29
2,259755;-1,0988;-2,4928;2,0312;3,40
2,259901;-0,8917;-1,6962;2,4565;3,12
2,269897;0,3998;-1,3654;3,8247;4,08
2,279052;0,8425;-1,0434;4,4338;4,63
2,291028;0,7445;0,4211;5,0862;5,16
2,296985;2,4190;2,0704;3,6347;4,83
2,306635;2,2517;2,2993;2,8294;4,29
2,326501;-0,3845;-0,5598;5,7112;5,75
2,341620;0,3413;-0,6167;4,3332;4,39
2,348322;0,8296;-0,6031;3,0868;3,25
2,357946;2,2426;0,6174;2,5633;3,46
2,366714;3,3435;1,8051;2,6738;4,65
2,380630;4,4643;1,9142;2,8635;5,64
2,380821;4,3624;1,7861;2,0327;5,13
2,400104;2,1761;1,1552;-0,4814;2,51
2,400411;0,0789;0,9962;-3,0196;3,18
2,413755;-2,6571;0,7870;-0,0376;2,77
2,429217;-4,7472;-1,1918;4,9123;6,93
2,429363;-5,5561;-2,3520;2,9576;6,72
2,442650;-7,4824;-4,1134;-0,9598;8,59
2,446427;-7,6369;-5,1483;-4,2829;10,16
2,457666;-6,0683;-4,6739;-3,7571;8,53
2,480878;-2,7096;-0,1893;-1,9325;3,33
2,503812;-1,9500;1,2964;0,2218;2,35
2,514435;-2,1820;-1,7616;-0,9404;2,96
2,528645;-1,9393;-0,4519;-2,3321;3,07
2,548939;-0,5567;0,9938;-1,7921;2,12
2,549269;2,2994;2,0194;0,5841;3,12
2,557712;2,5081;2,0742;1,2046;3,47
2,572782;3,2156;1,1977;0,7804;3,52
2,577765;2,8793;0,0411;-0,4640;2,92
2,589025;1,8284;-0,7689;-1,5175;2,50
2,596283;0,9319;-1,1987;-1,2200;1,95
2,605558;0,2585;-1,7403;0,1065;1,76
