# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 17:58:24.899
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,009683;0,0800;0,0129;0,6810;0,69
0,009950;0,0500;0,1214;0,4391;0,46
0,020382;-0,3293;-0,1037;-0,1673;0,38
0,033071;-0,3910;-0,2735;-0,6429;0,80
0,035344;-0,3388;-0,2611;-0,8948;0,99
0,048669;-0,1699;-0,1731;-0,8433;0,88
0,054129;0,0579;-0,0732;-0,4342;0,44
0,066745;0,1776;-0,0081;0,0695;0,19
0,072802;0,1728;0,0280;0,4733;0,50
0,082516;0,1617;0,0617;0,6084;0,63
0,091553;0,0848;0,0778;0,5455;0,56
0,101542;-0,0363;0,0611;0,2644;0,27
0,115250;-0,0399;0,0412;-0,0322;0,07
0,131898;-0,1329;-0,0751;-0,3216;0,36
0,138804;-0,0349;-0,0775;-0,2862;0,30
0,148365;-0,0226;-0,0927;-0,1775;0,20
0,156209;0,0589;-0,0997;-0,1153;0,16
0,166488;0,1280;-0,0725;-0,0244;0,15
0,181994;-0,0035;-0,1044;0,0270;0,11
0,185009;-0,0074;-0,0818;0,0550;0,10
0,197112;0,0180;-0,0523;0,0575;0,08
0,203804;0,0133;0,0133;0,0372;0,04
0,214374;-0,0142;0,0801;-0,0358;0,09
0,222855;-0,0812;0,1080;-0,1048;0,17
0,231724;-0,1383;0,0629;-0,0919;0,18
0,251088;-0,1202;-0,0783;-0,0403;0,15
0,266560;-0,0734;-0,1423;-0,2082;0,26
0,270283;-0,0630;-0,1421;-0,3841;0,41
0,282816;-0,0020;-0,0473;-0,4313;0,43
0,288544;-0,0024;0,0680;-0,2741;0,28
0,303008;0,0298;0,0767;0,0519;0,10
0,307230;-0,0102;0,0400;0,1927;0,20
0,317443;-0,0894;0,0211;0,2517;0,27
0,326058;-0,0875;0,0061;0,1484;0,17
0,335569;-0,0770;-0,0619;0,0229;0,10
0,349733;-0,0917;-0,0553;-0,1004;0,15
0,353533;-0,0519;-0,0471;-0,0673;0,10
0,364989;-0,0089;-0,0636;0,0114;0,07
0,372480;0,0437;-0,0225;0,1828;0,19
0,383545;0,0612;-0,0031;0,3431;0,35
0,399728;-0,0078;-0,0940;0,1461;0,17
0,417657;-0,0050;-0,0677;0,0778;0,10
0,419204;-0,0379;-0,0727;0,0570;0,10
0,432496;-0,0909;-0,1254;0,0556;0,16
0,437717;-0,0360;-0,0838;0,0781;0,12
0,449101;0,0409;-0,0398;-0,0151;0,06
0,457512;0,1042;0,0348;-0,0657;0,13
0,467263;0,1296;-0,0227;-0,0234;0,13
0,475129;0,1054;-0,0595;-0,0486;0,13
0,484841;0,0957;-0,0182;-0,1251;0,16
0,501269;0,1324;0,0321;-0,1058;0,17
0,503286;0,1118;-0,0146;-0,0117;0,11
0,516134;0,0816;-0,0399;-0,0334;0,10
0,521940;0,0589;-0,0785;-0,0937;0,14
0,531899;0,0057;-0,1529;-0,1547;0,22
0,550056;-0,0655;-0,3066;-0,2178;0,38
0,558259;-0,0351;-0,3387;-0,2536;0,42
0,568821;0,0128;-0,3585;-0,2419;0,43
0,583676;0,0460;-0,4073;-0,2475;0,48
0,587387;0,0739;-0,1546;-0,4213;0,45
0,603389;0,0828;0,3421;-0,4334;0,56
0,605990;0,2913;0,4746;-0,1600;0,58
0,617409;0,0980;0,5020;0,4337;0,67
0,624688;0,0357;0,5496;0,7987;0,97
0,633904;-0,1340;0,5412;0,8132;0,99
0,643999;-0,3389;0,4213;0,6294;0,83
0,653137;-0,4817;0,0867;0,2809;0,56
0,666562;-0,4585;-0,2106;-0,0991;0,51
0,671412;-0,2677;-0,2802;-0,3192;0,50
0,683448;-0,1421;-0,3652;-0,5405;0,67
0,702437;-0,0237;-0,2673;-0,2552;0,37
0,708791;0,0323;-0,1874;-0,0665;0,20
0,720277;0,0393;-0,1212;-0,0392;0,13
0,737312;0,0054;-0,0532;0,0844;0,10
0,737486;-0,0345;-0,0357;0,1194;0,13
0,750352;-0,0464;0,0151;0,0263;0,06
0,756302;-0,0349;-0,0049;-0,1449;0,15
0,769114;-0,0156;-0,0161;-0,3054;0,31
0,774690;0,0171;0,0117;-0,3097;0,31
0,784944;0,0208;0,0257;-0,2632;0,27
0,792702;-0,0671;0,0134;-0,1060;0,13
0,803273;-0,1509;-0,0079;0,0817;0,17
0,816458;-0,2390;0,0042;0,2267;0,33
0,835423;-0,3175;0,0027;-0,1013;0,33
0,839482;-0,2539;0,0311;-0,2825;0,38
0,852995;-0,2062;0,0390;-0,4539;0,50
0,858354;-0,2394;0,0089;-0,5085;0,56
0,869138;-0,2380;0,0167;-0,3837;0,45
0,875426;-0,2545;0,3481;-0,1355;0,45
0,885833;-0,8411;0,0597;-0,1584;0,86
0,900197;-0,9354;-0,0847;-0,2284;0,97
0,904743;-0,8352;0,1357;-0,1587;0,86
0,916708;-0,9618;0,6123;-0,0796;1,14
0,923525;-0,6863;0,8271;0,4587;1,17
0,934903;-0,1129;0,8275;1,2005;1,46
0,942152;-0,3101;0,9563;0,9508;1,38
0,952439;-0,5958;0,9136;0,1650;1,10
0,970059;-0,6044;0,7967;-1,2610;1,61
0,986393;-0,7580;0,7163;-1,3635;1,72
