# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 18:02:49.445
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,008515;0,2529;0,0890;0,9290;0,97
0,016401;0,2494;-0,2000;0,4614;0,56
0,026411;0,1589;-0,2541;-0,2798;0,41
0,044048;0,0698;-0,1462;-1,1757;1,19
0,048495;-0,0482;-0,0952;-0,8931;0,90
0,058092;-0,1343;-0,0806;-0,5294;0,55
0,068366;-0,2079;-0,0607;-0,2311;0,32
0,077851;-0,2141;0,0373;0,0706;0,23
0,085960;-0,2199;0,0515;0,5125;0,56
0,094033;-0,1202;-0,0407;0,8698;0,88
0,108165;0,1511;-0,0355;0,5747;0,60
0,114115;0,2732;0,0674;0,0057;0,28
0,125810;0,1230;0,1608;-0,2507;0,32
0,133050;0,1202;0,0967;-0,3315;0,37
0,142475;0,1704;-0,0088;-0,3493;0,39
0,151481;0,0948;-0,0526;-0,1678;0,20
0,160876;0,1051;-0,0385;-0,0059;0,11
0,175431;0,1129;0,0079;-0,0257;0,12
0,192492;-0,0153;0,0337;0,0148;0,04
0,199536;-0,0712;0,0444;0,1826;0,20
0,209060;-0,0564;0,0132;0,2603;0,27
0,216998;-0,0064;0,0151;0,1352;0,14
0,226346;-0,0359;0,0291;0,0003;0,05
0,235505;-0,0728;0,0034;-0,0357;0,08
0,244831;-0,0349;-0,0284;0,0207;0,05
0,258615;-0,0105;-0,0351;0,1102;0,12
0,263689;-0,0667;-0,0122;0,1649;0,18
0,275746;-0,1056;-0,0002;0,1032;0,15
0,282323;-0,0787;0,0125;-0,0224;0,08
0,292509;-0,0513;-0,0015;-0,0575;0,08
0,301189;-0,0128;-0,0090;-0,0201;0,03
0,310241;0,0273;0,0238;0,0956;0,10
0,321366;0,0503;0,0399;0,1693;0,18
0,331293;0,0149;0,0405;0,0122;0,04
0,342512;-0,0845;0,0179;-0,1461;0,17
0,365226;0,0087;-0,0999;-0,2244;0,25
0,366372;0,2657;-0,0633;0,0876;0,29
0,376386;0,3415;-0,0031;-0,0973;0,36
0,385070;0,2250;0,0787;-0,0682;0,25
0,394291;0,1336;0,1698;0,1367;0,26
0,410430;-0,0760;0,0456;0,3552;0,37
0,412403;-0,3069;-0,1195;0,4768;0,58
0,427022;-0,3951;-0,3145;0,4147;0,65
0,431880;-0,4886;-0,5103;0,0527;0,71
0,443497;-0,4628;-0,2637;-0,1673;0,56
0,450746;-0,1795;0,0215;-0,4719;0,51
0,469689;0,1095;0,1768;-0,7261;0,76
0,478349;0,1521;0,1623;-0,2587;0,34
0,497632;0,1231;0,1588;0,3282;0,38
0,497786;0,0351;0,1057;0,7426;0,75
0,514814;-0,0520;-0,0057;0,9199;0,92
0,519581;-0,1851;-0,1677;0,7295;0,77
0,526346;-0,2572;-0,2231;0,1908;0,39
0,533955;-0,2280;-0,1111;-0,2816;0,38
0,543961;-0,1406;-0,0039;-0,5378;0,56
0,552849;-0,0810;0,0698;-0,5268;0,54
0,562067;-0,0218;0,0669;-0,3167;0,32
0,570491;0,0168;0,0893;0,0233;0,09
0,580781;0,1029;0,0883;0,1013;0,17
0,593408;0,0196;0,0834;0,1818;0,20
0,610531;0,0861;0,1100;1,0580;1,07
