# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-04 18:00:53.621
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,008274;-0,2448;0,6736;0,5939;0,93
0,017856;-0,3130;0,0816;0,8769;0,93
0,033445;0,3624;-0,6746;0,2181;0,80
0,039995;0,9714;-0,8148;-0,5017;1,36
0,049358;1,4467;-0,7219;-0,5857;1,72
0,066209;1,3769;-0,5528;-0,3128;1,52
0,067666;0,7014;-0,3302;-0,0982;0,78
0,083656;-0,4137;-0,1442;0,1938;0,48
0,086506;-0,6987;-0,2221;-0,3070;0,79
0,100070;-0,4592;-0,5076;-0,5063;0,85
0,105549;0,0455;-0,4236;-0,0611;0,43
0,115457;-0,3339;-0,1755;0,1419;0,40
0,124790;-0,6792;0,1846;0,7738;1,05
0,133351;-0,0244;0,2702;0,2980;0,40
0,147295;-0,2455;0,0171;-0,8360;0,87
0,164457;-0,2764;0,3652;-0,2517;0,52
0,170874;-0,1698;0,1221;-0,2865;0,35
0,181553;-0,5665;-0,0482;0,0208;0,57
0,189738;-0,8055;0,0307;0,2614;0,85
0,199028;-0,7228;0,1494;-0,1563;0,75
0,217276;-0,4170;0,2546;-1,0442;1,15
0,217409;-0,2081;0,2410;-1,2108;1,25
0,232685;0,0940;0,1507;-0,6446;0,67
0,234885;0,3059;-0,0650;-0,2511;0,40
0,248445;0,5361;-0,2904;-0,1103;0,62
0,254838;0,8345;-0,6930;0,0124;1,08
0,265226;0,7327;-0,9758;0,0475;1,22
0,273109;0,8136;-0,9242;-0,0719;1,23
0,282950;1,1296;-0,7375;-0,0873;1,35
0,298731;1,1817;-0,6597;-0,2512;1,38
0,303465;1,1572;-0,7240;-0,5016;1,45
0,316226;0,6929;-0,7450;0,1948;1,04
0,332366;0,4838;-0,4181;-1,3470;1,49
0,339026;0,9648;-0,3694;-2,3222;2,54
0,349872;0,6529;0,0903;-1,9595;2,07
0,357535;-0,2788;0,4376;-0,5080;0,73
0,366900;-0,5853;0,3936;1,3689;1,54
0,377076;-0,5490;0,0175;2,8247;2,88
0,385948;-0,3564;-0,3969;3,0903;3,14
0,399430;-0,0154;-0,9075;2,1813;2,36
0,404461;-0,0186;-1,2414;0,5826;1,37
0,415651;-0,3624;-0,9890;-1,1287;1,54
0,423273;-0,4927;0,9059;-2,6941;2,88
0,441617;2,1356;2,6041;-1,8225;3,83
0,451659;1,5260;0,4962;-0,2764;1,63
0,466547;-0,3048;-1,8264;0,2835;1,87
0,469436;-2,5275;-3,5106;4,5810;6,30
0,483034;-2,4086;-2,7710;7,6757;8,51
0,488910;0,2298;0,1658;1,3179;1,35
0,499498;1,6791;1,3045;-3,1027;3,76
0,507411;0,4952;0,6985;-3,2658;3,38
0,516751;-0,3101;0,8360;-2,0173;2,21
0,525877;-0,0917;1,0094;-0,4281;1,10
0,535525;0,3773;0,9677;-0,2017;1,06
0,549758;0,6070;0,7447;-0,7887;1,24
0,553505;0,3674;0,3547;-1,1908;1,30
0,566257;-0,0438;-0,0489;-1,0025;1,00
0,572979;-0,2689;-0,3400;-0,6664;0,79
0,586605;-0,4225;-0,4615;-0,3273;0,71
0,603171;-0,6096;-0,2787;0,0888;0,68
0,619692;-0,2682;-0,1231;0,2026;0,36
0,620070;0,0889;-0,0124;0,2926;0,31
0,636898;0,3965;0,0754;0,4395;0,60
0,637111;0,4922;0,0942;0,3265;0,60
0,654919;0,3987;0,0322;0,0208;0,40
0,656781;0,3741;-0,1173;-0,1673;0,43
0,670407;0,4288;-0,1562;-0,3268;0,56
0,673970;0,4835;-0,0321;-0,5677;0,75
0,686937;0,4399;0,1323;-0,8181;0,94
0,703369;0,3590;0,1738;-0,9306;1,01
0,703587;0,0628;0,0752;-0,6453;0,65
0,719954;-0,2500;0,0803;-0,2432;0,36
0,723205;-0,4217;0,1490;0,2687;0,52
0,737908;-0,6841;0,2271;0,6306;0,96
0,752149;-0,6924;0,1806;0,9730;1,21
0,759333;-0,3684;0,1796;0,7564;0,86
0,768942;-0,1590;0,1269;0,3019;0,36
0,786046;-0,0396;0,0781;-0,2043;0,22
0,787369;0,0256;0,0732;-0,4713;0,48
