UTC time;Satellites;Speed (km/h);Elapsed time (s);Distance (m)
85.650.000;6;0.94;0.00;0.00
85.650.050;6;1.22;0.05;0.01
85.650.100;6;1.50;0.10;0.03
85.650.150;6;1.69;0.15;0.06
85.650.200;6;1.54;0.20;0.08
85.650.250;6;1.46;0.25;0.10
85.650.300;6;1.95;0.30;0.12
85.650.350;6;2.42;0.35;0.15
85.650.400;6;2.29;0.40;0.19
85.650.450;6;2.09;0.45;0.22
85.650.500;6;2.37;0.50;0.25
85.650.550;6;2.54;0.55;0.28
85.650.600;6;2.05;0.60;0.31
85.650.650;6;1.45;0.65;0.34
85.650.700;6;1.17;0.70;0.36
85.650.750;6;0.97;0.75;0.37
85.650.800;6;0.72;0.80;0.38
85.650.850;6;0.53;0.85;0.39
85.650.900;0;0.00;0.90;0.39
85.650.950;0;0.00;0.95;0.39
85.651.000;0;0.00;1.00;0.39
85.651.050;0;0.00;1.05;0.39
85.651.100;0;0.00;1.10;0.39
85.651.150;0;0.00;1.15;0.39
85.651.200;0;0.00;1.20;0.39
85.651.250;0;0.00;1.25;0.39
85.651.300;0;0.00;1.30;0.39
85.651.350;0;0.00;1.35;0.39
85.651.400;0;0.00;1.40;0.39
85.651.450;0;0.00;1.45;0.39
85.651.500;0;0.00;1.50;0.39
85.651.550;0;0.00;1.55;0.39
85.651.600;0;0.00;1.60;0.39
85.651.650;0;0.00;1.65;0.39
85.651.700;0;0.00;1.70;0.39
85.651.750;0;0.00;1.75;0.39
85.651.800;0;0.00;1.80;0.39
85.652.200;3;1.09;1.85;0.42
85.652.250;3;1.21;1.90;0.44
85.652.300;3;1.62;1.95;0.46
85.652.350;3;1.96;2.00;0.48
85.652.400;3;1.87;2.05;0.51
85.652.450;3;1.66;2.10;0.54
85.652.500;3;1.50;2.15;0.56
85.652.550;3;1.43;2.20;0.58
85.652.600;3;1.61;2.25;0.60
85.652.650;3;1.77;2.30;0.62
85.652.700;3;1.58;2.35;0.65
85.652.750;3;1.39;2.40;0.67
85.652.800;3;1.54;2.45;0.69
85.652.850;3;1.74;2.50;0.71
85.652.900;0;0.00;2.55;0.71
85.652.950;0;0.00;2.60;0.71
85.653.000;0;0.00;2.65;0.71
85.653.050;0;0.00;2.70;0.71
85.653.100;0;0.00;2.75;0.71
85.653.150;0;0.00;2.80;0.71
85.653.200;0;0.00;2.85;0.71
85.653.250;0;0.00;2.90;0.71
85.653.300;0;0.00;2.95;0.71
85.653.350;0;0.00;3.00;0.71
